[*] '/home/tony/Advanced-Programming-in-the-UNIX-Environment/Lab3/gotoku'
    Arch:     amd64-64-little
    RELRO:    Full RELRO
    Stack:    No canary found
    NX:       NX enabled
    PIE:      PIE enabled
main = 0x16c89
Func         GOT Offset Symbol Offset
gop_599      1bec0      12960     
gop_600      1bd18      12610     
gop_601      1c1d0      12f80     
gop_602      1c648      13870     
gop_603      1cb20      14220     
gop_604      1cfa0      14b20     
gop_605      1d650      15880     
gop_606      1db18      16210     
gop_607      1ba40      12060     
gop_608      1bef8      129d0     
gop_609      1c380      132e0     
gop_610      1c230      13040     
gop_611      1c540      13660     
gop_612      1c9d0      13f80     
gop_613      1ce68      148b0     
gop_614      1d2f0      151c0     
gop_615      1d7f8      15bd0     
gop_616      1dce0      165a0     
gop_617      1bbe8      123b0     
gop_618      1c260      130a0     
gop_619      1c6e0      139a0     
gop_620      1d6e0      159a0     
gop_621      1dbb8      16350     
gop_622      1baa0      12120     
gop_623      1bf78      12ad0     
gop_624      1c418      13410     
gop_625      1c898      13d10     
gop_626      1cd48      14670     
gop_627      1d3c8      15370     
gop_628      1d8a0      15d20     
gop_629      1dd80      166e0     
gop_630      1be30      12840     
gop_631      1c4a0      13520     
gop_632      1c920      13e20     
gop_633      1cde8      147b0     
gop_634      1d268      150b0     
gop_635      1d758      15a90     
gop_636      1dc28      16430     
gop_637      1bb40      12260     
gop_638      1c028      12c30     
gop_639      1c4d0      13580     
gop_640      1cb18      14210     
gop_641      1cf98      14b10     
gop_642      1d648      15870     
gop_643      1db10      16200     
gop_644      1ba38      12050     
gop_645      1bef0      129c0     
gop_646      1c378      132d0     
gop_647      1c818      13c10     
gop_648      1ccc8      14570     
gop_649      1d148      14e70     
gop_650      1d7f0      15bc0     
gop_651      1dcd8      16590     
gop_652      1bbe0      123a0     
gop_653      1c258      13090     
gop_654      1c6d8      13990     
gop_655      1cb98      14310     
gop_656      1d020      14c20     
gop_657      1d4d8      15590     
gop_658      1d9d0      15f80     
gop_659      1de98      16910     
gop_660      1bf70      12ac0     
gop_661      1c410      13400     
gop_662      1c890      13d00     
gop_663      1cd40      14660     
gop_664      1d3c0      15360     
gop_665      1d898      15d10     
gop_666      1dd78      166d0     
gop_667      1bca8      12530     
gop_668      1c128      12e30     
gop_669      1c5a8      13730     
gop_670      1d6d0      15980     
gop_671      1dba8      16330     
gop_672      1ba70      120c0     
gop_673      1bf40      12a60     
gop_674      1c480      134e0     
gop_675      1c780      13ae0     
gop_676      1cc18      14410     
gop_677      1d0a0      14d20     
gop_678      1d5a8      15730     
gop_679      1da78      160d0     
gop_680      1c778      13ad0     
gop_681      1cbe8      143b0     
gop_682      1d068      14cb0     
gop_683      1d618      15810     
gop_684      1d958      15e90     
gop_685      1de00      167e0     
gop_686      1bd10      12600     
gop_687      1c1c8      12f70     
gop_688      1c640      13860     
gop_689      1cb10      14200     
gop_690      1dde0      167a0     
gop_691      1bcd0      12580     
gop_692      1c228      13030     
gop_693      1c538      13650     
gop_694      1c9c8      13f70     
gop_695      1ce60      148a0     
gop_696      1d2e8      151b0     
gop_697      1d7e8      15bb0     
gop_698      1dcd0      16580     
gop_699      1bbd8      12390     
gop_700      1be50      12880     
gop_701      1ddb8      16750     
gop_702      1d908      15df0     
gop_703      1d420      15420     
gop_704      1cf50      14a80     
gop_705      1ca98      14110     
gop_706      1c620      13820     
gop_707      1c190      12f00     
gop_708      1be80      128e0     
gop_709      1df70      16ac0     
gop_710      1cbc8      14370     
gop_711      1c728      13a30     
gop_712      1c2a8      13130     
gop_713      1bdf0      127c0     
gop_714      1ded0      16980     
gop_715      1da50      16080     
gop_716      1d548      15670     
gop_717      1d228      15030     
gop_718      1cd78      146d0     
gop_719      1c8e8      13db0     
gop_720      1bf28      12a30     
gop_721      1bc20      12420     
gop_722      1dcf8      165d0     
gop_723      1d830      15c40     
gop_724      1d338      15250     
gop_725      1cea8      14930     
gop_726      1ca00      13fe0     
gop_727      1c578      136d0     
gop_728      1c0e0      12da0     
gop_729      1bc70      124c0     
gop_730      1d7c0      15b60     
gop_731      1d2a8      15130     
gop_732      1cfd8      14b90     
gop_733      1cb40      14260     
gop_734      1c698      13910     
gop_735      1c1f0      12fc0     
gop_736      1bd48      12670     
gop_737      1de38      16850     
gop_738      1d998      15f10     
gop_739      1d478      154d0     
gop_740      1ca90      14100     
gop_741      1c618      13810     
gop_742      1c188      12ef0     
gop_743      1be78      128d0     
gop_744      1df68      16ab0     
gop_745      1dad8      16190     
gop_746      1d5d0      15780     
gop_747      1d0e0      14da0     
gop_748      1cc60      144a0     
gop_749      1c7e0      13ba0     
gop_750      1bde8      127b0     
gop_751      1dec8      16970     
gop_752      1da48      16070     
gop_753      1d540      15660     
gop_754      1d220      15020     
gop_755      1cd70      146c0     
gop_756      1c8e0      13da0     
gop_757      1c438      13450     
gop_758      1bfb0      12b40     
gop_759      1bae8      121b0     
gop_760      1ce00      147e0     
gop_761      1c968      13eb0     
gop_762      1c4d8      13590     
gop_763      1c048      12c70     
gop_764      1bc08      123f0     
gop_765      1db68      162b0     
gop_766      1d6a0      15920     
gop_767      1d188      14ef0     
gop_768      1ccf8      145d0     
gop_769      1c868      13cb0     
gop_770      1dda8      16730     
gop_771      1d8f8      15dd0     
gop_772      1d3d0      15380     
